transactionId,storeId,productId,quantitySold,salesDate
1001,1,101,1,2025-01-01
1002,2,102,2,2025-01-02
1003,3,103,3,2025-01-03
1004,4,104,4,2025-01-04
1005,5,105,5,2025-01-05
1006,6,106,1,2025-01-06
1007,7,107,2,2025-01-07
1008,8,108,3,2025-01-08
1009,9,109,4,2025-01-09
1010,10,110,5,2025-01-10
1005,1,111,1,2025-01-11
1012,2,112,2,2025-01-12
1013,3,113,3,2025-01-13
1014,4,114,4,2025-01-14
1015,5,115,5,2025-01-15
1016,4,101,1,2025-01-16
1017,7,102,2,2025-01-17
1018,8,103,3,2025-01-18
1019,9,104,4,2025-01-19
1020,10,105,5,2025-01-20
1021,1,106,1,2025-01-21
1022,2,107,2,2025-01-22
1023,3,108,3,2025-01-23
1024,4,109,4,2025-01-24
1025,5,110,5,2025-01-25
1026,6,111,1,2025-01-26
1027,7,112,2,2025-01-27
1028,8,113,3,2025-01-28
1029,9,114,4,2025-01-01
1030,10,115,5,2025-01-02
1031,1,101,1,2025-01-03
1032,2,102,2,2025-01-04
1033,3,103,3,2025-01-05
1034,4,104,4,2025-01-06
1035,5,105,5,2025-01-07
1036,6,106,1,2025-01-08
1037,7,107,2,2025-01-09
1038,8,108,3,2025-01-10
1039,9,109,4,2025-01-11
1040,10,110,5,2025-01-12
1041,1,111,1,2025-01-13
1042,2,112,2,2025-01-14
1043,3,113,3,2025-01-15
1044,4,114,4,2025-01-16
1045,5,115,5,2025-01-17
1046,6,101,1,2025-01-18
1047,7,102,2,2025-01-19
1048,8,103,3,2025-01-20
1049,9,104,4,2025-01-21
1050,10,105,5,2025-01-22
