inventoryId,productId,availableStock,reorderLevel,inventoryStatus
1,1,86,6,AVAILABLE
2,2,31,6,AVAILABLE
3,3,51,19,AVAILABLE
4,4,29,11,AVAILABLE
5,5,96,6,AVAILABLE
6,6,17,14,AVAILABLE
7,7,29,15,AVAILABLE
8,8,73,15,AVAILABLE
9,9,30,14,AVAILABLE
10,10,18,12,AVAILABLE
11,11,52,14,AVAILABLE
12,12,35,6,AVAILABLE
13,13,71,10,AVAILABLE
14,14,80,18,AVAILABLE
15,15,71,20,AVAILABLE
16,16,6,16,LOW STOCK
17,17,82,17,AVAILABLE
18,18,100,15,AVAILABLE
19,19,89,18,AVAILABLE
20,20,52,9,AVAILABLE
21,21,38,17,AVAILABLE
22,22,23,20,AVAILABLE
23,23,30,12,AVAILABLE
24,24,38,9,AVAILABLE
25,25,59,6,AVAILABLE
26,26,71,18,AVAILABLE
27,27,53,9,AVAILABLE
28,28,49,12,AVAILABLE
29,29,32,11,AVAILABLE
30,30,42,7,AVAILABLE
31,31,57,16,AVAILABLE
32,32,11,11,AVAILABLE
33,33,6,13,LOW STOCK
34,34,48,6,AVAILABLE
35,35,9,11,LOW STOCK
36,36,97,11,AVAILABLE
37,37,61,11,AVAILABLE
38,38,42,14,AVAILABLE
39,39,1,11,LOW STOCK
40,40,24,8,AVAILABLE
41,41,95,20,AVAILABLE
42,42,31,11,AVAILABLE
43,43,50,12,AVAILABLE
44,44,70,15,AVAILABLE
45,45,99,14,AVAILABLE
46,46,48,19,AVAILABLE
47,47,68,16,AVAILABLE
48,48,39,13,AVAILABLE
49,49,46,20,AVAILABLE
50,50,59,8,AVAILABLE
51,51,92,20,AVAILABLE
52,52,97,15,AVAILABLE
53,53,26,16,AVAILABLE
54,54,40,18,AVAILABLE
55,55,-5,12,LOW STOCK
56,56,94,9,AVAILABLE
57,57,2,13,LOW STOCK
58,58,70,18,AVAILABLE
59,59,37,9,AVAILABLE
60,60,25,15,AVAILABLE
61,61,29,17,AVAILABLE
62,62,72,12,AVAILABLE
63,63,63,15,AVAILABLE
64,64,32,20,AVAILABLE
65,65,92,20,AVAILABLE
66,66,58,10,AVAILABLE
67,67,93,16,AVAILABLE
68,68,21,9,AVAILABLE
69,69,92,20,AVAILABLE
70,70,23,6,AVAILABLE
71,71,67,6,AVAILABLE
72,72,9,6,AVAILABLE
73,73,97,5,AVAILABLE
74,74,52,9,AVAILABLE
75,75,80,12,AVAILABLE
76,76,8,9,LOW STOCK
77,77,1,11,LOW STOCK
78,78,64,19,AVAILABLE
79,79,47,6,AVAILABLE
80,80,79,20,AVAILABLE
81,81,84,20,AVAILABLE
82,82,2,5,LOW STOCK
83,83,68,18,AVAILABLE
84,84,1,5,LOW STOCK
85,85,67,13,AVAILABLE
86,86,68,14,AVAILABLE
87,87,2,18,LOW STOCK
88,88,22,8,AVAILABLE
89,89,12,9,AVAILABLE
90,90,30,11,AVAILABLE
91,91,79,13,AVAILABLE
92,92,45,13,AVAILABLE
93,93,50,7,AVAILABLE
94,94,47,17,AVAILABLE
95,95,58,12,AVAILABLE
96,96,89,12,AVAILABLE
97,97,38,7,AVAILABLE
98,98,83,6,AVAILABLE
99,99,11,17,LOW STOCK
100,100,48,17,AVAILABLE
101,101,70,20,AVAILABLE
102,102,7,5,AVAILABLE
103,103,89,10,AVAILABLE
104,104,10,20,LOW STOCK
105,105,55,15,AVAILABLE
106,106,72,8,AVAILABLE
107,107,67,6,AVAILABLE
108,108,29,11,AVAILABLE
